Clt,Joueur,Nation,Pos,Équipe,Comp,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,xAG,xG+xAG,npxG,npxG+xAG
334,Giacomo Bonaventura,it ITA,MT,Fiorentina,it Serie A,33,1989,31,27,2277,25.3,8,3,11,8,0,1,6,0,5.7,4.4,3.6,8.0,60,140,107,0.32,0.12,0.43,0.32,0.43,0.22,0.14,0.36,0.18,0.32
335,Federico Bonazzoli,it ITA,"AT,MT",Hellas Verona,it Serie A,26,1997,24,10,1016,11.3,3,1,4,3,0,0,2,0,2.9,2.9,1.1,4.0,13,26,73,0.27,0.09,0.35,0.27,0.35,0.25,0.10,0.35,0.25,0.35
336,Warren Bondo,fr FRA,MT,Monza,it Serie A,19,2003,25,14,1475,16.4,1,1,2,1,0,0,9,0,0.9,0.9,0.3,1.2,31,43,13,0.06,0.06,0.12,0.06,0.12,0.06,0.02,0.08,0.06,0.08
337,Giovanni Bonfanti,it ITA,DF,Atalanta,it Serie A,20,2003,2,1,89,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
338,Victor Boniface,ng NGA,AT,Leverkusen,de Bundesliga,22,2000,23,18,1546,17.2,14,8,22,10,4,4,2,0,15.4,12.3,3.7,16.0,50,34,158,0.82,0.47,1.28,0.58,1.05,0.90,0.22,1.12,0.71,0.93
339,Kevin Bonifazi,it ITA,DF,Bologna,it Serie A,27,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
340,Kevin Bonifazi,it ITA,DF,Frosinone,it Serie A,27,1996,6,3,309,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
341,Leonardo Bonucci,it ITA,DF,Union Berlin,de Bundesliga,36,1987,7,6,460,5.1,1,0,1,0,1,1,0,0,0.8,0.0,0.3,0.3,0,21,1,0.20,0.00,0.20,0.00,0.00,0.15,0.06,0.22,0.00,0.06
342,Neto Borges,br BRA,DF,Clermont Foot,fr Ligue 1,26,1996,28,28,2516,28.0,0,1,1,0,0,0,3,1,0.5,0.5,2.8,3.4,58,88,165,0.00,0.04,0.04,0.00,0.04,0.02,0.10,0.12,0.02,0.12
343,Yvandro Borges Sanches,lu LUX,"MT,AT",Gladbach,de Bundesliga,19,2004,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
344,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,24,1999,20,16,1431,15.9,0,0,0,0,0,0,5,0,0.8,0.8,0.4,1.2,2,41,2,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07
345,Rafael Borré,co COL,AT,Werder Bremen,de Bundesliga,27,1995,19,11,991,11.0,4,0,4,4,0,0,0,0,2.4,2.4,1.8,4.2,16,28,73,0.36,0.00,0.36,0.36,0.36,0.22,0.16,0.38,0.22,0.38
346,Gennaro Borrelli,it ITA,AT,Frosinone,it Serie A,23,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
347,Adri Bosch,es ESP,DF,Granada,es La Liga,22,2001,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
348,Erik Botheim,no NOR,"AT,MT",Salernitana,it Serie A,23,2000,7,4,316,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,5,9,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
349,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,23,2000,17,15,1377,15.3,2,2,4,2,0,0,2,0,0.6,0.6,1.0,1.6,0,35,5,0.13,0.13,0.26,0.13,0.26,0.04,0.07,0.11,0.04,0.11
350,Saïmon Bouabré,fr FRA,MT,Monaco,fr Ligue 1,17,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
351,Ayyoub Bouaddi,fr FRA,MT,Lille,fr Ligue 1,15,2007,9,1,131,1.5,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,1,12,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
352,Badredine Bouanani,dz ALG,AT,Nice,fr Ligue 1,18,2004,7,1,161,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,10,2,24,0.00,0.00,0.00,0.00,0.00,0.12,0.26,0.37,0.12,0.37
353,Badredine Bouanani,dz ALG,MT,Lorient,fr Ligue 1,18,2004,11,4,443,4.9,1,0,1,1,0,0,0,0,1.4,1.4,0.9,2.3,30,32,27,0.20,0.00,0.20,0.20,0.20,0.28,0.18,0.46,0.28,0.46
354,Mohamed Bouchenna,fr FRA,"MT,AT",Clermont Foot,fr Ligue 1,17,2006,2,0,29,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0,1,3,0.00,0.00,0.00,0.00,0.00,0.19,0.65,0.85,0.19,0.85
355,Hicham Boudaoui,dz ALG,MT,Nice,fr Ligue 1,23,1999,29,17,1613,17.9,2,0,2,2,0,0,5,0,3.3,3.3,1.8,5.1,28,78,58,0.11,0.00,0.11,0.11,0.11,0.19,0.10,0.29,0.19,0.29
356,Yassine Bounou,ma MAR,GB,Sevilla,es La Liga,32,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
357,Mehdi Bourabia,ma MAR,MT,Frosinone,it Serie A,31,1991,10,3,200,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
358,Benjamin Bourigeaud,fr FRA,"MT,AT",Rennes,fr Ligue 1,29,1994,32,29,2425,26.9,9,6,15,2,7,7,1,0,9.9,4.4,6.7,11.1,27,178,139,0.33,0.22,0.56,0.07,0.30,0.37,0.25,0.62,0.16,0.41
359,Bilal Boutobba,fr FRA,"AT,MT",Clermont Foot,fr Ligue 1,24,1998,27,10,926,10.3,1,1,2,1,0,0,1,0,2.0,2.0,1.7,3.7,38,43,86,0.10,0.10,0.19,0.10,0.19,0.20,0.17,0.36,0.20,0.36
360,Hugo Boutsingkham,fr FRA,"MT,AT",Nantes,fr Ligue 1,20,2003,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
361,Edoardo Bove,it ITA,MT,Roma,it Serie A,21,2002,31,18,1780,19.8,0,2,2,0,0,0,2,0,2.0,2.0,0.7,2.7,21,88,47,0.00,0.10,0.10,0.00,0.10,0.10,0.04,0.14,0.10,0.14
362,Jarrod Bowen,eng ENG,AT,West Ham,eng Premier League,26,1996,34,34,3019,33.5,16,6,22,16,0,0,2,0,11.6,11.6,5.5,17.2,90,52,186,0.48,0.18,0.66,0.48,0.66,0.35,0.16,0.51,0.35,0.51
363,Lucas Boyé,ar ARG,AT,Granada,es La Liga,27,1996,31,30,2541,28.2,6,3,9,6,0,0,8,1,6.2,6.2,2.8,8.9,36,65,131,0.21,0.11,0.32,0.21,0.32,0.22,0.10,0.32,0.22,0.32
364,Domagoj Bradarić,hr CRO,DF,Salernitana,it Serie A,23,1999,34,30,2749,30.5,0,3,3,0,0,0,5,0,0.8,0.8,1.8,2.6,57,76,120,0.00,0.10,0.10,0.00,0.10,0.03,0.06,0.08,0.03,0.08
365,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,20,2003,11,10,753,8.4,1,3,4,1,0,0,2,0,0.9,0.9,1.5,2.3,35,29,64,0.12,0.36,0.48,0.12,0.48,0.10,0.17,0.28,0.10,0.28
366,Bilal Brahimi,dz ALG,AT,Nice,fr Ligue 1,23,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.58,0.00,0.58
367,Bilal Brahimi,dz ALG,"AT,MT",Brest,fr Ligue 1,23,2000,18,1,221,2.5,0,0,0,0,0,0,1,1,0.1,0.1,0.3,0.4,15,9,39,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.15,0.04,0.15
368,Julian Brandt,de GER,"MT,AT",Dortmund,de Bundesliga,27,1996,32,26,2223,24.7,7,11,18,7,0,0,2,0,4.4,4.4,9.5,13.8,74,116,158,0.28,0.45,0.73,0.28,0.73,0.18,0.38,0.56,0.18,0.56
369,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,21,2002,35,35,3116,34.6,3,0,3,3,0,0,8,0,1.7,1.7,1.0,2.8,2,74,6,0.09,0.00,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08
370,Darko Brašanac,rs SRB,MT,Osasuna,es La Liga,31,1992,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
371,Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,23,1999,30,30,2677,29.7,3,0,3,3,0,0,11,1,1.1,1.1,0.6,1.6,20,121,5,0.10,0.00,0.10,0.10,0.10,0.04,0.02,0.06,0.04,0.06
372,Brau,es ESP,DF,Granada,es La Liga,21,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
373,Claudio Bravo,cl CHI,GB,Betis,es La Liga,40,1983,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
374,Fabian Bredlow,de GER,GB,Stuttgart,de Bundesliga,28,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
375,Tim Breithaupt,de GER,MT,Augsburg,de Bundesliga,21,2002,16,6,629,7.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,0,21,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
376,Josip Brekalo,hr CRO,AT,Fiorentina,it Serie A,25,1998,11,8,652,7.2,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,14,25,69,0.14,0.00,0.14,0.14,0.14,0.06,0.04,0.10,0.06,0.10
377,Gleison Bremer,br BRA,DF,Juventus,it Serie A,26,1997,36,36,3233,35.9,3,0,3,3,0,0,9,0,1.4,1.4,0.4,1.9,7,120,4,0.08,0.00,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05
378,Brenner,br BRA,"MT,AT",Udinese,it Serie A,23,2000,8,2,189,2.1,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,6,8,10,0.00,0.00,0.00,0.00,0.00,0.18,0.01,0.20,0.18,0.20
379,Ben Brereton,cl CHI,"AT,MT",Sheffield Utd,eng Premier League,24,1999,14,14,1105,12.3,6,1,7,5,1,1,3,0,6.1,5.3,1.5,6.7,23,37,78,0.49,0.08,0.57,0.41,0.49,0.49,0.12,0.61,0.43,0.55
380,Ben Brereton,cl CHI,"AT,MT",Villarreal,es La Liga,24,1999,14,2,270,3.0,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,6,14,35,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16
381,Marco Brescianini,it ITA,MT,Frosinone,it Serie A,23,2000,36,24,2321,25.8,4,2,6,4,0,0,1,0,2.3,2.3,1.6,3.9,46,70,100,0.16,0.08,0.23,0.16,0.23,0.09,0.06,0.15,0.09,0.15
382,Maximilian Breunig,de GER,AT,Freiburg,de Bundesliga,22,2000,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
383,Rhian Brewster,eng ENG,"AT,MT",Sheffield Utd,eng Premier League,23,2000,13,3,346,3.8,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,1,3,21,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12
384,Bennit Bröger,de GER,AT,Wolfsburg,de Bundesliga,17,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
385,Armando Broja,al ALB,AT,Chelsea,eng Premier League,21,2001,13,6,454,5.0,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,11,6,37,0.20,0.00,0.20,0.20,0.20,0.47,0.03,0.50,0.47,0.50
386,Armando Broja,al ALB,AT,Fulham,eng Premier League,21,2001,8,0,88,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2,2,7,0.00,1.02,1.02,0.00,1.02,0.00,0.41,0.41,0.00,0.41
387,Dylan Bronn,tn TUN,"DF,MT",Salernitana,it Serie A,28,1995,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
388,Andre Brooks,eng ENG,"MT,DF",Sheffield Utd,eng Premier League,19,2003,20,12,938,10.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,18,22,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
389,David Brooks,wls WAL,"AT,MT",Bournemouth,eng Premier League,26,1997,13,2,282,3.1,1,1,2,1,0,0,1,0,2.2,2.2,1.0,3.2,8,21,27,0.32,0.32,0.64,0.32,0.64,0.70,0.33,1.03,0.70,1.03
390,John Brooks,us USA,DF,Hoffenheim,de Bundesliga,30,1993,21,18,1539,17.1,2,0,2,2,0,0,6,1,2.6,2.6,0.1,2.7,5,61,1,0.12,0.00,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16
391,Moritz Broschinski,de GER,AT,Bochum,de Bundesliga,22,2000,26,14,1247,13.9,2,3,5,2,0,0,4,0,2.4,2.4,1.8,4.1,18,10,92,0.14,0.22,0.36,0.14,0.36,0.17,0.13,0.30,0.17,0.30
392,Jacob Brown,sct SCO,"MT,AT",Luton Town,eng Premier League,25,1998,19,12,1019,11.3,2,0,2,2,0,0,4,0,2.8,2.8,0.7,3.4,25,19,53,0.18,0.00,0.18,0.18,0.18,0.25,0.06,0.30,0.25,0.30
393,Josh Brownhill,eng ENG,MT,Burnley,eng Premier League,27,1995,33,23,2252,25.0,4,2,6,4,0,0,4,1,1.9,1.9,2.1,4.0,19,90,36,0.16,0.08,0.24,0.16,0.24,0.08,0.08,0.16,0.08,0.16
394,Alexander Brunst,de GER,GB,Darmstadt 98,de Bundesliga,28,1995,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
395,Jacob Bruun Larsen,dk DEN,"MT,AT",Burnley,eng Premier League,24,1998,32,16,1249,13.9,6,0,6,5,1,1,1,0,5.0,4.2,1.5,5.7,61,38,146,0.43,0.00,0.43,0.36,0.36,0.36,0.10,0.46,0.30,0.41
396,Tajon Buchanan,ca CAN,DF,Inter,it Serie A,24,1999,10,0,161,1.8,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.5,12,4,22,0.56,0.00,0.56,0.56,0.56,0.11,0.18,0.29,0.11,0.29
397,Ante Budimir,hr CRO,AT,Osasuna,es La Liga,32,1991,33,29,2435,27.1,17,2,19,14,3,4,4,0,14.2,11.1,1.8,12.9,21,42,99,0.63,0.07,0.70,0.52,0.59,0.53,0.07,0.59,0.41,0.48
398,Hugo Bueno,es ESP,"DF,MT",Wolves,eng Premier League,20,2002,22,7,741,8.2,0,0,0,0,0,0,1,0,0.3,0.3,0.8,1.0,22,8,40,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.13,0.03,0.13
399,Manu Bueno,es ESP,MT,Sevilla,es La Liga,19,2004,4,1,117,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.10,0.02,0.10
400,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,24,1998,12,9,822,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
401,Marius Bülter,de GER,"DF,AT",Hoffenheim,de Bundesliga,30,1993,30,15,1351,15.0,1,4,5,1,0,0,3,1,1.4,1.4,3.4,4.9,37,60,107,0.07,0.27,0.33,0.07,0.33,0.10,0.23,0.32,0.10,0.32
402,Facundo Buonanotte,ar ARG,"AT,MT",Brighton,eng Premier League,18,2004,27,17,1364,15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,23,42,69,0.20,0.07,0.26,0.20,0.26,0.16,0.12,0.28,0.16,0.28
403,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,24,1999,29,29,2527,28.1,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,14,62,10,0.11,0.00,0.11,0.11,0.11,0.06,0.00,0.06,0.06,0.06
404,Jonathan Burkardt,de GER,"AT,MT",Mainz 05,de Bundesliga,23,2000,21,18,1538,17.1,8,2,10,7,1,1,2,0,6.1,5.3,2.1,7.4,36,28,101,0.47,0.12,0.59,0.41,0.53,0.36,0.12,0.48,0.31,0.43
405,Oliver Burke,sct SCO,AT,Werder Bremen,de Bundesliga,26,1997,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
406,Reece Burke,eng ENG,DF,Luton Town,eng Premier League,26,1996,22,20,1660,18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,11,67,14,0.00,0.22,0.22,0.00,0.22,0.07,0.07,0.15,0.07,0.15
407,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,31,1992,33,32,2726,30.3,2,2,4,2,0,0,4,0,3.1,3.1,1.1,4.2,14,75,25,0.07,0.07,0.13,0.07,0.13,0.10,0.04,0.14,0.10,0.14
408,Rareș-Cătălin Burnete,ro ROU,AT,Lecce,it Serie A,19,2004,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,11.25,11.25,0.00,11.25,0.00,0.71,0.71,0.00,0.71
409,Mason Burstow,eng ENG,AT,Chelsea,eng Premier League,19,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
410,Marnon Busch,de GER,DF,Heidenheim,de Bundesliga,28,1994,16,5,595,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,15,34,27,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
411,Maxime Busi,be BEL,"AT,DF",Reims,fr Ligue 1,23,1999,5,1,162,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3,3,12,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21
412,Pablo Busto,es ESP,DF,Betis,es La Liga,17,2005,2,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.41,0.44,0.03,0.44
413,Aurélio Buta,pt POR,"DF,MT",Eint Frankfurt,de Bundesliga,26,1997,30,20,1744,19.4,1,1,2,1,0,0,5,0,0.5,0.5,0.7,1.2,51,90,104,0.05,0.05,0.10,0.05,0.10,0.02,0.04,0.06,0.02,0.06
414,Marcin Bułka,pl POL,GB,Nice,fr Ligue 1,23,1999,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
415,Rémy Cabella,fr FRA,"AT,MT",Lille,fr Ligue 1,33,1990,30,14,1477,16.4,2,2,4,2,0,0,0,0,5.2,5.2,3.3,8.5,72,106,160,0.12,0.12,0.24,0.12,0.24,0.32,0.20,0.52,0.32,0.52
416,Jovane Cabral,cv CPV,"MT,AT",Salernitana,it Serie A,25,1998,12,8,678,7.5,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,22,40,39,0.13,0.00,0.13,0.13,0.13,0.15,0.06,0.21,0.15,0.21
417,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22,2000,31,18,1912,21.2,0,1,1,0,0,0,6,0,0.4,0.4,1.7,2.1,34,84,55,0.00,0.05,0.05,0.00,0.05,0.02,0.08,0.10,0.02,0.10
418,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,26,1997,31,29,2486,27.6,2,3,5,2,0,0,8,0,1.5,1.5,2.9,4.4,43,144,75,0.07,0.11,0.18,0.07,0.18,0.06,0.10,0.16,0.06,0.16
419,Moisés Caicedo,ec ECU,MT,Chelsea,eng Premier League,21,2001,35,33,2866,31.8,1,3,4,1,0,0,11,0,0.4,0.4,2.6,3.0,27,173,27,0.03,0.09,0.13,0.03,0.13,0.01,0.08,0.09,0.01,0.09
420,Tom Cairney,sct SCO,MT,Fulham,eng Premier League,32,1991,34,14,1488,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35,145,72,0.06,0.24,0.30,0.06,0.30,0.07,0.14,0.20,0.07,0.20
421,Jens Cajuste,se SWE,MT,Napoli,it Serie A,23,1999,26,11,1016,11.3,0,2,2,0,0,0,7,0,1.5,1.5,1.1,2.5,19,37,53,0.00,0.18,0.18,0.00,0.18,0.13,0.09,0.22,0.13,0.22
422,Davide Calabria,it ITA,DF,Milan,it Serie A,26,1996,29,26,2185,24.3,1,3,4,1,0,0,5,2,1.3,1.3,1.2,2.5,31,140,66,0.04,0.12,0.16,0.04,0.16,0.05,0.05,0.10,0.05,0.10
423,Riccardo Calafiori,it ITA,DF,Bologna,it Serie A,21,2002,30,26,2349,26.1,2,5,7,2,0,0,4,0,1.4,1.4,1.2,2.6,28,96,23,0.08,0.19,0.27,0.08,0.27,0.05,0.05,0.10,0.05,0.10
424,Mattia Caldara,it ITA,DF,Milan,it Serie A,29,1994,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.58,0.58,0.58
425,Luca Caldirola,it ITA,DF,Monza,it Serie A,32,1991,29,23,2141,23.8,1,1,2,1,0,0,7,1,0.5,0.5,0.6,1.1,10,56,9,0.04,0.04,0.08,0.04,0.08,0.02,0.03,0.04,0.02,0.04
426,Duje Ćaleta-Car,hr CRO,DF,Lyon,fr Ligue 1,26,1996,24,22,1993,22.1,0,0,0,0,0,0,2,1,0.5,0.5,1.0,1.5,5,61,1,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
427,Hakan Çalhanoğlu,tr TUR,MT,Inter,it Serie A,29,1994,32,32,2556,28.4,13,3,16,3,10,10,5,0,10.1,2.3,4.7,7.0,45,186,34,0.46,0.11,0.56,0.11,0.21,0.36,0.17,0.52,0.08,0.25
428,José Callejón,es ESP,"MT,AT",Granada,es La Liga,36,1987,25,7,803,8.9,0,1,1,0,0,0,2,0,1.3,1.3,1.5,2.8,10,35,50,0.00,0.11,0.11,0.00,0.11,0.15,0.17,0.32,0.15,0.32
429,Dominic Calvert-Lewin,eng ENG,AT,Everton,eng Premier League,26,1997,32,26,2171,24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,36,31,122,0.29,0.08,0.37,0.21,0.29,0.54,0.13,0.66,0.47,0.60
430,Lamine Camara,sn SEN,MT,Metz,fr Ligue 1,19,2004,31,26,2255,25.1,1,4,5,1,0,1,3,0,2.2,1.4,3.3,4.7,23,97,69,0.04,0.16,0.20,0.04,0.20,0.09,0.13,0.22,0.06,0.19
431,Mahdi Camara,fr FRA,MT,Brest,fr Ligue 1,25,1998,32,26,2020,22.4,7,3,10,6,1,1,7,0,4.9,4.1,3.1,7.1,37,81,129,0.31,0.13,0.45,0.27,0.40,0.22,0.14,0.35,0.18,0.32
432,Mohamed Camara,ml MLI,MT,Monaco,fr Ligue 1,23,2000,20,14,1035,11.5,1,2,3,0,1,1,4,0,1.5,0.7,0.6,1.3,14,76,22,0.09,0.17,0.26,0.00,0.17,0.13,0.06,0.18,0.06,0.11
433,Francesco Camarda,it ITA,AT,Milan,it Serie A,15,2008,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
434,Eduardo Camavinga,fr FRA,"MT,DF",Real Madrid,es La Liga,20,2002,31,21,1817,20.2,0,2,2,0,0,0,9,0,0.9,0.9,1.4,2.3,49,106,31,0.00,0.10,0.10,0.00,0.10,0.05,0.07,0.11,0.05,0.11
435,Nicolò Cambiaghi,it ITA,"AT,MT",Empoli,it Serie A,22,2000,37,29,2553,28.4,1,1,2,1,0,0,3,0,3.9,3.9,2.8,6.7,128,63,197,0.04,0.04,0.07,0.04,0.07,0.14,0.10,0.24,0.14,0.24
436,Andrea Cambiaso,it ITA,"DF,AT",Juventus,it Serie A,23,2000,34,28,2372,26.4,2,3,5,2,0,0,10,0,2.2,2.2,3.9,6.0,87,71,172,0.08,0.11,0.19,0.08,0.19,0.08,0.15,0.23,0.08,0.23
437,Axel Camblan,fr FRA,AT,Brest,fr Ligue 1,19,2003,7,0,90,1.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,5,1,8,0.00,0.00,0.00,0.00,0.00,0.25,0.05,0.29,0.25,0.29
438,Sergio Camello,es ESP,AT,Rayo Vallecano,es La Liga,22,2001,31,20,1661,18.5,3,1,4,3,0,0,3,0,4.5,4.5,1.3,5.8,22,41,79,0.16,0.05,0.22,0.16,0.22,0.24,0.07,0.31,0.24,0.31
439,José Campaña,es ESP,MT,Las Palmas,es La Liga,30,1993,8,1,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,15,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
440,Emre Can,de GER,"MT,DF",Dortmund,de Bundesliga,29,1994,25,22,1953,21.7,2,2,4,0,2,2,5,0,2.2,0.6,1.5,2.0,35,110,18,0.09,0.09,0.18,0.00,0.09,0.10,0.07,0.17,0.03,0.09
441,Matteo Cancellieri,it ITA,"AT,MT",Empoli,it Serie A,21,2002,36,18,1788,19.9,4,3,7,4,0,0,7,0,4.7,4.7,2.9,7.6,48,26,138,0.20,0.15,0.35,0.20,0.35,0.24,0.15,0.38,0.24,0.38
